Class Label,Left X,Left Y,Left Z,Right X,Right Y,Right Z
1,0.260871,0.115666,0.0791111,0.225357,0.0916288,0.0828735
2,0.189427,0.085703,0.0754619,0.149411,0.0528089,0.0801924
3,0.177844,0.0724213,0.0879399,0.141384,0.079206,0.0934902
4,0.181749,0.0598026,0.0761349,0.159117,0.0698111,0.0886436
5,0.127911,0.102167,0.0882306,0.113514,0.0614622,0.0828542
