class,leftX,leftY,leftZ,rightX,rightY,rightZ
3,-705.7513,97.8829,2039.391,351.3892,350.2131,2156.449
3,-703.5087,97.72311,2035.722,356.5431,355.3397,2155.674
3,-702.2817,98.01303,2035.314,357.8083,358.1272,2152.164
3,-702.2256,97.09299,2030.734,360.8731,356.6648,2144.692
3,-702.813,97.03442,2031.303,365.4183,365.4456,2145.485
3,-704.2427,97.37537,2028.374,365.6435,369.3437,2139.641
3,-701.262,94.87026,2025.12,369.6491,367.3303,2135.277
3,-700.866,97.64045,2022.595,364.886,363.0447,2119.333
3,-704.0746,96.70201,2020.921,359.4046,360.9778,2114.117
3,-704.1821,96.46937,2012.158,358.7542,362.6753,2107.099
3,-705.5838,99.38578,2002.106,360.4838,367.1206,2105.134
3,-706.2542,100.3093,1988.473,355.6168,368.7126,2102.627
3,-709.0306,100.0435,1979.922,351.8796,370.7184,2098.616
3,-710.045,99.78192,1971.318,347.5341,370.8418,2092.513
3,-714.0972,102.0198,1963.703,345.7497,371.8838,2089.26
3,-721.6003,104.4465,1953.416,336.1869,373.4035,2085.509
3,-726.8532,106.0931,1942.916,326.5506,376.0798,2077.882
3,-725.8447,102.4337,1936.202,326.4285,378.1,2071.943
3,-728.6501,104.1015,1929.136,322.2329,377.8864,2072.816
3,-735.4511,110.2828,1920.734,317.9798,381.1115,2069.345
3,-743.9977,114.1241,1917.062,317.7015,383.0329,2066.798
3,-746.3567,117.0562,1909.845,311.4405,388.8563,2067.299
3,-745.3337,117.8498,1904.399,308.5068,384.4965,2061.957
3,-746.8151,123.0969,1899.546,304.7694,382.2173,2059.307
3,-745.0573,123.5296,1893.722,304.8104,384.4217,2060.097
3,-746.7943,127.8206,1890.44,304.7129,389.0659,2054.5
3,-747.9693,128.5597,1888.25,306.365,393.3361,2055.747
3,-748.347,129.8342,1886.342,305.9774,394.0808,2052.751
3,-745.407,129.9695,1884.507,308.4499,393.1471,2053.717
3,-742.4288,128.4034,1880.946,309.8836,392.2021,2048.834
3,-737.329,125.6437,1880.475,311.4873,395.2014,2050.485
3,-732.7512,124.0798,1879.569,320.9582,393.8916,2051.485
3,-733.235,127.7074,1881.032,324.6656,391.7813,2047.141
3,-734.519,126.3418,1880.332,330.0344,390.6361,2044.757
3,-732.3419,126.8971,1881.404,337.0867,391.1043,2041.202
3,-714.1738,127.3354,1879.957,348.2438,392.4657,2042.803
3,-705.8149,124.5366,1882.695,357.4844,394.5102,2044.223
3,-694.5098,123.7705,1883.766,359.8825,388.8646,2038.729
3,-686.1009,125.9989,1885.723,371.9544,389.8568,2037.139
3,-680.2864,128.0259,1885.646,386.9638,389.5029,2036.809
3,-674.8284,128.588,1885.859,390.1584,385.4956,2029.373
3,-667.8546,130.7117,1889.207,400.6801,388.4515,2027.418
3,-660.7485,132.3081,1889.735,402.7612,390.5711,2025.59
3,-649.3509,133.2767,1890.391,415.6165,394.1885,2024.732
3,-637.2571,132.1051,1890.249,422.3861,390.8599,2021.063
3,-624.9815,131.1923,1889.705,431.3226,387.7069,2018.698
3,-615.5944,131.0395,1887.965,439.6007,387.117,2017.97
3,-614.2099,131.5214,1890.686,447.624,384.7965,2014.916
3,-609.8268,131.2501,1890.107,455.3113,386.738,2018.807
3,-600.1583,129.8581,1889.277,460.3587,385.3375,2013.825
3,-587.0866,128.7558,1888.378,465.9082,382.8868,2012.339
3,-576.1266,126.7114,1886.187,475.2583,384.4763,2013.313
3,-567.2868,128.7332,1884.225,479.2541,382.3783,2008.564
3,-561.4126,130.6163,1883.397,491.0909,379.446,2008.866
3,-483.5701,98.81927,1803.923,660.1276,359.769,1952.205
3,-485.0956,98.63329,1797.592,659.2272,361.3978,1954.604
3,-485.6358,100.0893,1790.6,654.2289,356.5195,1950.953
3,-487.781,103.1716,1789.01,647.9286,352.7709,1952.968
3,-489.2216,102.3011,1786.21,645.6685,347.6091,1952.628
3,-496.9574,104.4946,1784.982,642.6122,345.7038,1954.969
3,-506.1951,106.1193,1784.563,638.0192,349.4124,1960.953
3,-510.2758,106.5209,1783.468,631.0245,348.511,1960.984
3,-515.2346,108.9653,1783.469,622.6569,345.2768,1959.13
3,-523.4688,108.233,1783.274,616.7521,344.6194,1960.457
3,-533.157,109.9331,1781.976,613.0434,346.1963,1963.907
3,-539.3139,111.3773,1783.29,598.9496,356.7634,1963.494
3,-549.0851,114.4328,1782.348,599.4865,359.3368,1972.589
3,-552.2208,112.1177,1782.614,587.2927,361.3435,1967.468
3,-556.6934,112.4914,1783.453,590.3168,356.9168,1971.438
3,-558.9924,111.4523,1783.071,582.1674,358.6971,1974.713
3,-560.3334,110.1595,1783.287,581.825,359.611,1977.865
3,-560.7312,110.4013,1785.77,574.4523,358.6721,1980.396
3,-562.4225,109.3003,1790.02,579.6845,360.5595,1985.492
3,-564.973,107.8471,1794.548,574.9031,352.2567,1988.572
3,-563.764,107.1045,1803.072,577.9286,352.7434,1994.964
3,-567.3077,108.0067,1808.998,578.0545,348.0011,1997.362
3,-568.1586,106.6021,1811.392,574.9189,346.2231,2000.839
3,-562.1794,104.5327,1816.974,580.3794,342.8079,2005.547
3,-559.5289,102.6636,1821.57,578.8246,341.0501,2009.469
3,-558.7409,97.9414,1826.824,578.157,336.7905,2012.661
3,-558.8076,91.74077,1837.102,579.9308,331.502,2016.925
3,-580.4329,96.03333,1846.774,583.1766,327.5395,2014.368
3,-577.0926,95.01025,1846.947,588.3878,331.1294,2020.299
3,-579.5137,95.46146,1854.577,590.444,337.8834,2024.561
3,-576.8638,93.96051,1855.299,595.8841,335.5798,2027.638
3,-538.7043,90.49834,1861.521,596.0546,330.9765,2026.919
3,-525.664,88.36293,1862.762,602.6379,325.3745,2031.202
3,-524.4006,92.49975,1863.924,593.7751,329.6076,2029.675
3,-527.4861,92.86816,1866.149,596.1178,329.9815,2036.833
3,-527.6815,94.71432,1866.78,595.527,333.9944,2039.594
3,-531.5111,95.04642,1870.542,596.0302,333.257,2041.734
3,-533.7906,95.04405,1869.448,587.5396,331.782,2047.39
3,-537.3186,91.26874,1870.09,577.6251,335.0446,2051.096
3,-542.508,91.45622,1867.536,575.0441,334.066,2053.438
3,-553.0031,90.49413,1866.665,567.0389,329.9185,2050.823
3,-564.3364,89.48829,1863.528,564.498,326.3069,2061.352
3,-568.2114,88.30762,1862.061,560.9787,321.4372,2063.692
3,-569.6929,86.68919,1859.409,553.0001,321.7296,2064.517
3,-575.994,86.66281,1858.748,545.9384,324.5601,2066.738
3,-584.5787,87.61587,1856.219,535.6754,318.2707,2059.968
3,-595.1555,88.04164,1854.494,538.1329,318.9294,2067.59
3,-599.9147,88.81745,1855.57,529.9822,313.4473,2066.698
3,-607.4718,88.9994,1855.354,526.0837,322.8009,2071.73
3,-614.765,90.85458,1855.153,520.6696,315.7894,2071.296
3,-620.8834,90.79423,1856.606,516.249,315.9277,2071.198
3,-626.3468,91.2189,1858.606,509.1271,319.0881,2069.227
3,-632.308,89.60729,1860.521,500.9035,321.4223,2068.915
3,-632.5999,91.94646,1862.667,497.4715,322.2149,2072.993
3,-638.3176,92.08046,1862.258,499.7961,320.6891,2076.289
3,-642.5331,95.5356,1862.172,496.4722,324.5515,2077.545
3,-647.127,94.35068,1861.203,489.9154,329.3252,2076.441
3,-649.517,97.52232,1859.498,486.1822,320.5971,2076.831
3,-652.0021,98.7687,1859.182,482.6403,320.0451,2071.927
3,-656.5389,99.60867,1856.832,483.5823,322.8522,2074.272
3,-658.4645,99.89004,1857.498,487.8908,326.0399,2075.186
3,-659.5115,99.62383,1857.913,484.1513,316.2357,2078.455
3,-688.7371,104.08,1853.819,482.0483,312.3814,2078.937
3,-686.0792,103.5851,1857.034,481.6712,311.312,2083.332
3,-615.3192,88.13427,1878.345,488.1414,311.7212,2088.057
3,-620.4503,91.31107,1885.64,483.6337,313.0465,2085.761
3,-626.6443,93.35836,1889.604,486.6505,318.1323,2082.317
3,-630.1461,94.49372,1894.802,488.8495,321.0035,2092.783
3,-631.1864,94.24792,1896.221,483.3519,314.38,2089.141
3,-633.5425,92.70411,1898.953,474.4097,310.2029,2086.959
3,-635.9631,93.76012,1902.798,473.8912,312.1494,2091.817
3,-632.6215,93.4862,1904.255,477.3163,319.9007,2096.656
3,-636.5027,92.48138,1906.882,467.4265,318.5954,2100.527
3,-643.5045,92.67153,1907.601,458.7975,317.0191,2104.474
3,-648.928,89.73838,1911.396,450.435,316.7859,2110.948
3,-659.3936,87.4625,1912.453,441.8604,315.8689,2116.312
3,-669.5291,88.04167,1910.605,436.9246,313.2372,2122.736
3,-679.077,88.7871,1914.354,428.2998,318.5788,2131.241
3,-684.6663,84.62508,1913.57,418.9571,322.4062,2136.799
3,-690.9032,82.09753,1913.154,408.1646,317.4346,2138.524
3,-701.257,82.54563,1917.487,395.438,315.3554,2137.379
3,-708.4166,83.4777,1917.706,391.3295,311.4737,2144.898
3,-721.0742,85.76172,1917.458,379.4064,311.1496,2144.6
3,-729.2059,85.49631,1917.942,371.2417,314.2296,2148.093
3,-737.1253,85.74838,1921.137,366.1432,313.3404,2151.758
3,-743.2863,86.18307,1919.343,354.4773,312.3372,2148.932
3,-749.5628,84.41192,1919.429,345.9063,311.3138,2152.036
3,-755.411,84.72851,1918.302,337.4987,315.5587,2153.011
3,-760.7713,83.62094,1917.639,334.0156,315.5116,2155.104
3,-770.1639,86.03257,1919.413,325.9406,310.7585,2155.63
3,-774.762,87.46803,1917.622,319.3552,311.8798,2158.468
3,-775.7011,89.80666,1918.547,319.9851,312.4624,2159.266
3,-773.7553,89.83772,1921.049,313.7786,310.2025,2162.926
3,-775.5662,90.25043,1926.068,309.6443,312.8419,2163.914
3,-777.8783,91.0615,1930.89,302.3196,313.8813,2171.045
3,-779.9622,91.07821,1933.621,297.7594,315.1815,2169.553
